D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.964632	-0.964632	0.007838	-10.895505	0.000000	0.039241	2.179744	9	South_RS	Mid_RS	North_RS	NS
-0.740570	-0.740570	0.085310	-2.535513	0.011228	0.067421	0.452342	6	South_RS	Mid_RS	BS	NS
-0.939129	-0.939129	0.012087	-8.542045	0.000000	0.039241	1.250070	10	South_RS	North_RS	Mid_RS	NS
-0.559103	-0.559103	0.060751	-2.268370	0.023307	0.183904	0.650323	10	South_RS	North_RS	BS	NS
-0.968018	-0.968018	0.006384	-12.115260	0.000000	0.067421	4.148759	10	South_RS	BS	Mid_RS	NS
-0.927985	-0.927985	0.007112	-11.004002	0.000000	0.183904	4.923473	13	South_RS	BS	North_RS	NS
0.271057	0.271057	0.033185	1.487959	0.136762	2.179744	1.250070	7	Mid_RS	North_RS	South_RS	NS
0.437737	0.437737	0.035624	2.319224	0.020383	2.135614	0.835185	14	Mid_RS	North_RS	BS	NS
-0.803377	-0.803377	0.009634	-8.184826	0.000000	0.452342	4.148759	8	Mid_RS	BS	South_RS	NS
-0.318925	-0.318925	0.045209	-1.499947	0.133628	2.135614	4.135692	18	Mid_RS	BS	North_RS	NS
-0.766650	-0.766650	0.027484	-4.624418	0.000004	0.650323	4.923473	9	North_RS	BS	South_RS	NS
-0.663969	-0.663969	0.029748	-3.849639	0.000118	0.835185	4.135692	15	North_RS	BS	Mid_RS	NS
