D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.120536	-0.120536	0.005037	-1.698290	0.089453	10.745848	13.691427	6	South_RS	Mid_RS	North_RS	NS
-0.016594	-0.016594	0.003627	-0.275557	0.782888	9.166516	9.475871	5	South_RS	Mid_RS	BS	NS
-0.194410	-0.194410	0.009843	-1.959568	0.050046	10.745848	15.932342	6	South_RS	North_RS	Mid_RS	NS
-0.123738	-0.123738	0.005635	-1.648384	0.099274	9.848012	12.629311	5	South_RS	North_RS	BS	NS
-0.263018	-0.263018	0.017166	-2.007485	0.044698	9.166516	15.709305	5	South_RS	BS	Mid_RS	NS
-0.299994	-0.299994	0.024313	-1.923942	0.054362	9.848012	18.288933	6	South_RS	BS	North_RS	NS
-0.075646	-0.075646	0.012205	-0.684722	0.493519	13.691427	15.932342	6	Mid_RS	North_RS	South_RS	NS
-0.081044	-0.081044	0.012422	-0.727159	0.467129	9.382272	11.037133	5	Mid_RS	North_RS	BS	NS
-0.247504	-0.247504	0.014919	-2.026368	0.042727	9.475871	15.709305	5	Mid_RS	BS	South_RS	NS
-0.205430	-0.205430	0.016631	-1.592974	0.111166	9.382272	14.233707	5	Mid_RS	BS	North_RS	NS
-0.183051	-0.183051	0.031364	-1.033608	0.301319	12.629311	18.288933	6	North_RS	BS	South_RS	NS
-0.126493	-0.126493	0.022987	-0.834312	0.404105	11.037133	14.233707	5	North_RS	BS	Mid_RS	NS
