D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.047911	-0.047911	0.000001	-39.178742	0.000000	220327.348737	242501.738480	25963	South_RS	Mid_RS	North_RS	NS
0.044055	0.044055	0.000002	32.660964	0.000000	190779.540185	174679.247265	25310	South_RS	Mid_RS	BS	NS
-0.032557	-0.032557	0.000001	-29.647426	0.000000	220327.348737	235156.654628	26021	South_RS	North_RS	Mid_RS	NS
0.021094	0.021094	0.000001	20.503830	0.000000	260615.785933	249848.140676	26183	South_RS	North_RS	BS	NS
-0.186192	-0.186192	0.000003	-107.125400	0.000000	190779.540186	278076.744424	25869	South_RS	BS	Mid_RS	NS
-0.193298	-0.193298	0.000002	-126.905351	0.000000	260615.785933	385510.504206	26349	South_RS	BS	North_RS	NS
0.015377	0.015377	0.000001	12.918877	0.000000	242501.738480	235156.654628	26058	Mid_RS	North_RS	South_RS	NS
-0.017925	-0.017925	0.000001	-15.846637	0.000000	211326.107162	219040.421587	26074	Mid_RS	North_RS	BS	NS
-0.228374	-0.228374	0.000003	-126.273592	0.000000	174679.247265	278076.744424	25788	Mid_RS	BS	South_RS	NS
-0.169816	-0.169816	0.000002	-111.785039	0.000000	211326.107162	297780.499303	26173	Mid_RS	BS	North_RS	NS
-0.213521	-0.213521	0.000003	-134.132152	0.000000	249848.140676	385510.504206	26251	North_RS	BS	South_RS	NS
-0.152355	-0.152355	0.000002	-100.024173	0.000000	219040.421587	297780.499303	26110	North_RS	BS	Mid_RS	NS
