D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.058664	-0.058664	0.000003	-34.855118	0.000000	65253.051716	73386.150160	25384	South_RS	Mid_RS	North_RS	NS
0.058987	0.058987	0.000004	30.413491	0.000000	56089.790253	49841.230741	24198	South_RS	Mid_RS	BS	NS
-0.038717	-0.038717	0.000002	-25.404589	0.000000	65253.051716	70509.421547	25328	South_RS	North_RS	Mid_RS	NS
0.029205	0.029205	0.000002	19.588070	0.000000	75478.070464	71194.519351	25654	South_RS	North_RS	BS	NS
-0.223989	-0.223989	0.000005	-101.585330	0.000000	56089.790254	88469.417389	25027	South_RS	BS	Mid_RS	NS
-0.232825	-0.232825	0.000004	-123.136245	0.000000	75478.070464	121290.842886	26008	South_RS	BS	North_RS	NS
0.019992	0.019992	0.000003	12.228548	0.000000	73386.150160	70509.421547	25425	Mid_RS	North_RS	South_RS	NS
-0.023253	-0.023253	0.000003	-14.388005	0.000000	61336.920287	64257.326443	25546	Mid_RS	North_RS	BS	NS
-0.279286	-0.279286	0.000005	-124.847632	0.000000	49841.230741	88469.417389	24869	Mid_RS	BS	South_RS	NS
-0.207314	-0.207314	0.000004	-107.519563	0.000000	61336.920287	93420.183926	25763	Mid_RS	BS	North_RS	NS
-0.260260	-0.260260	0.000004	-134.360921	0.000000	71194.519351	121290.842886	25690	North_RS	BS	South_RS	NS
-0.184953	-0.184953	0.000004	-95.079232	0.000000	64257.326443	93420.183926	25437	North_RS	BS	Mid_RS	NS
