D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.047911	-0.047911	0.000001	-39.881488	0.000000	220327.348616	242501.738699	48375	South_RS	Mid_RS	North_RS	NS
0.044055	0.044055	0.000002	32.963252	0.000000	190779.540138	174679.247317	45016	South_RS	Mid_RS	BS	NS
-0.032557	-0.032557	0.000001	-29.455761	0.000000	220327.348616	235156.654351	48561	South_RS	North_RS	Mid_RS	NS
0.021094	0.021094	0.000001	20.307403	0.000000	260615.785674	249848.140749	50357	South_RS	North_RS	BS	NS
-0.186192	-0.186192	0.000003	-114.866585	0.000000	190779.540139	278076.744262	46347	South_RS	BS	Mid_RS	NS
-0.193298	-0.193298	0.000002	-137.985408	0.000000	260615.785674	385510.504188	51018	South_RS	BS	North_RS	NS
0.015377	0.015377	0.000001	13.058071	0.000000	242501.738699	235156.654351	48768	Mid_RS	North_RS	South_RS	NS
-0.017925	-0.017925	0.000001	-15.753015	0.000000	211326.107081	219040.421450	48426	Mid_RS	North_RS	BS	NS
-0.228374	-0.228374	0.000003	-135.841776	0.000000	174679.247317	278076.744261	46201	Mid_RS	BS	South_RS	NS
-0.169816	-0.169816	0.000002	-119.737599	0.000000	211326.107081	297780.498964	48792	Mid_RS	BS	North_RS	NS
-0.213521	-0.213521	0.000002	-146.140663	0.000000	249848.140749	385510.504187	50791	North_RS	BS	South_RS	NS
-0.152355	-0.152355	0.000002	-107.362603	0.000000	219040.421450	297780.498964	48639	North_RS	BS	Mid_RS	NS
