D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
-0.058664	-0.058664	0.000002	-41.085741	0.000000	65253.051462	73386.150487	122114	South_RS	Mid_RS	North_RS	NS
0.058987	0.058987	0.000003	35.003838	0.000000	56089.790047	49841.230679	97857	South_RS	Mid_RS	BS	NS
-0.038717	-0.038717	0.000002	-28.665927	0.000000	65253.051462	70509.421376	119033	South_RS	North_RS	Mid_RS	NS
0.029205	0.029205	0.000002	22.270108	0.000000	75478.070626	71194.519023	132744	South_RS	North_RS	BS	NS
-0.223989	-0.223989	0.000003	-128.824404	0.000000	56089.790048	88469.417180	104981	South_RS	BS	Mid_RS	NS
-0.232825	-0.232825	0.000002	-162.857872	0.000000	75478.070626	121290.843108	141291	South_RS	BS	North_RS	NS
0.019992	0.019992	0.000002	14.186947	0.000000	73386.150487	70509.421376	121340	Mid_RS	North_RS	South_RS	NS
-0.023253	-0.023253	0.000002	-16.452162	0.000000	61336.920252	64257.326188	120906	Mid_RS	North_RS	BS	NS
-0.279286	-0.279286	0.000003	-159.989998	0.000000	49841.230679	88469.417178	103514	Mid_RS	BS	South_RS	NS
-0.207314	-0.207314	0.000002	-138.048055	0.000000	61336.920252	93420.183774	125960	Mid_RS	BS	North_RS	NS
-0.260260	-0.260260	0.000002	-179.140285	0.000000	71194.519023	121290.843108	134892	North_RS	BS	South_RS	NS
-0.184953	-0.184953	0.000002	-121.565269	0.000000	64257.326187	93420.183774	119867	North_RS	BS	Mid_RS	NS
