"contig","D","JK_D","V_JK_D","Z","pvalue","nABBA","nBABA","nBlocks","H1","H2","H3","H4","p_adjust"
"MA_10001693","0.701035","0.701035","0.014616","5.798721","0.000000","2.220779","0.390312","2","South_RS","Mid_North_RS","BS","NS",0
"MA_100034","0.332171","0.332171","0.005702","4.398895","0.000011","18.425472","9.236852","4","South_RS","Mid_North_RS","BS","NS",0.000111680244399185
"MA_100103","0.209465","0.209465","0.001695","5.087246","0.000000","2.381653","1.556705","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10014998","0.781869","0.781869","0.017161","5.968523","0.000000","0.757135","0.092686","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10028531","-0.065123","-0.065123","0.000089","-6.903804","0.000000","14.014015","15.966447","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10043134","0.935347","0.935347","0.026865","5.706611","0.000000","1.238049","0.041359","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10046","0.456803","0.456803","0.010319","4.496811","0.000007","6.451249","2.405472","5","South_RS","Mid_North_RS","BS","NS",7.27484364141765e-05
"MA_10048778","-0.131056","-0.131056","0.000806","-4.615397","0.000004","4.300859","5.598183","2","South_RS","Mid_North_RS","BS","NS",4.25159914712154e-05
"MA_100508","0.382820","0.382820","0.000680","14.679169","0.000000","24.578018","10.969662","5","South_RS","Mid_North_RS","BS","NS",0
"MA_10068028","0.057103","0.057103","0.000023","11.908646","0.000000","2.674291","2.385368","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10075711","-0.309472","-0.309472","0.000977","-9.900371","0.000000","0.580623","1.101055","2","South_RS","Mid_North_RS","BS","NS",0
"MA_100758","0.255140","0.255140","0.002701","4.909553","0.000001","20.918442","12.413989","2","South_RS","Mid_North_RS","BS","NS",1.13124054462935e-05
"MA_10086987","0.172757","0.172757","0.000025","34.454852","0.000000","5.440909","3.837929","2","South_RS","Mid_North_RS","BS","NS",0
"MA_100910","0.347415","0.347415","0.003693","5.716627","0.000000","22.868394","11.075717","4","South_RS","Mid_North_RS","BS","NS",0
"MA_10097541","0.402410","0.402410","0.000864","13.694143","0.000000","5.799408","2.471223","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10115166","0.376584","0.376584","0.000369","19.602228","0.000000","1.404153","0.635901","2","South_RS","Mid_North_RS","BS","NS",0
"MA_10118613","0.105661","0.105661","0.000138","8.979897","0.000000","8.642642","6.990795","2","South_RS","Mid_North_RS","BS","NS",0
